strategy,n_days,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate
AAPL/buy_hold,2891,11.744078801105621,0.24837912844087917,0.2875017177347585,0.7763855084488629,1.1364519821897991,0.3851591889479884,0.6448739522982537,0.532246879334258
AAPL/macd,2891,1.626305060926529,0.08781010784651078,0.28599081916105207,0.29814179514847633,0.41966952461414186,0.5311396839064362,0.16532394491912814,0.513296011196641
AAPL/kdj_rsi,2891,-0.9422006542383299,-0.2200254208151291,0.28709530299457225,-0.8616329138456501,-1.216562827973234,0.9469926124407764,-0.23234122201654364,0.4696864111498258
AAPL/zmr,2891,-0.9193600708193318,-0.1970524467161331,0.25175565685351176,-0.904419977035865,-1.2383177801969871,0.9334875212320624,-0.21109274868083255,0.44845995893223817
AAPL/sma_cross,2891,0.18826769358959417,0.015149626468696331,0.28559539737959827,0.05582578388132082,0.07867938125861924,0.5548556326097671,0.027303726552148282,0.498589562764457
MSFT/buy_hold,2891,8.830616121531826,0.22045102043788023,0.27245710211422414,0.7207912444102176,1.0541300839343355,0.37148472193509174,0.5934322663110729,0.5342608695652173
MSFT/macd,2891,-0.9326886734649876,-0.2095982785731627,0.2700886890946146,-0.883153823896278,-1.1912252732599082,0.9557178252127734,-0.21930979316672203,0.4784134784134784
MSFT/kdj_rsi,2891,0.09772550524809365,0.008160602893711122,0.27093935782916273,0.01717034014017563,0.025133303607034668,0.5178363174611718,0.015759039330653007,0.4931794333683106
MSFT/zmr,2891,-0.2668989874798532,-0.026699995974240998,0.24051812488906682,-0.1585892923462777,-0.2275224871537747,0.4602167228990939,-0.05801613597621306,0.45427350427350427
MSFT/sma_cross,2891,-0.2583786299082774,-0.025719151182551303,0.2699879672799408,-0.10919454774115063,-0.15031908301009317,0.615526064776295,-0.04178401639563159,0.5116772823779193
GOOGL/buy_hold,2891,12.699601595609456,0.2562714803185324,0.2894567082610685,0.7945603146303396,1.1771360980590455,0.44320041958164114,0.5782293269497348,0.5355039833737444
GOOGL/macd,2891,-0.6925981727134265,-0.09771264363806953,0.28875772528613647,-0.3506945402730618,-0.5030210259922224,0.8063407780982188,-0.12118033254938192,0.48060118839566585
GOOGL/kdj_rsi,2891,-0.04632521846210291,-0.004126022251938255,0.2894754640711936,-0.007311533681250804,-0.01029673116468505,0.6304958421172162,-0.006544091136403056,0.5047021943573667
GOOGL/zmr,2891,-0.3336712963205426,-0.03476859225522522,0.25231586651141164,-0.1719530785593699,-0.23816589542827393,0.686954395049772,-0.050612664400678485,0.4669491525423729
GOOGL/sma_cross,2891,0.38450323669940567,0.028765003167654513,0.2882328694450309,0.10317320942333419,0.149960289975308,0.6171206299575696,0.04661163761391718,0.5024665257223396
AMZN/buy_hold,2891,14.715172473823097,0.2713924716746168,0.32862647953157936,0.7727460881755724,1.1585260863370976,0.5614526325328263,0.4833755439890102,0.5346500346500347
AMZN/macd,2891,-0.8930841261138578,-0.17706704866957235,0.32577434987541404,-0.5574428304416161,-0.7696602564613997,0.937503223319225,-0.18887086920369983,0.47867132867132867
AMZN/kdj_rsi,2891,-0.7721550456157222,-0.12096268776434393,0.328795334401729,-0.34955613959359333,-0.4936913330172939,0.8834599521278683,-0.13691926552301298,0.49547038327526133
AMZN/zmr,2891,-0.8358772790279991,-0.1457429813193447,0.2855799347556496,-0.5481093170750079,-0.746309866573872,0.8446956239115923,-0.17253905098317227,0.45781584582441115
AMZN/sma_cross,2891,0.536475865729658,0.03814711771162038,0.325073095479413,0.15441096013199285,0.22303649280591914,0.702113654031683,0.05433182718007502,0.5088090204369274
NVDA/buy_hold,2891,402.4463229284863,0.6870917840165589,0.48270514763195055,1.240806081814827,1.9128808039503808,0.6633508567837773,1.0357893971041032,0.5441941074523396
NVDA/macd,2891,-0.9421988335712952,-0.22002327923533782,0.48351740692331757,-0.35155353921396976,-0.48126116911857747,0.9568149504974803,-0.22995384752395467,0.48776223776223776
NVDA/kdj_rsi,2891,-0.9776747019187887,-0.2820908388328006,0.4838730182170554,-0.5254511747142285,-0.7358518861686566,0.9903170608703468,-0.28484901450135897,0.4888501742160279
NVDA/zmr,2891,-0.9655348274300466,-0.2543968405856074,0.42330926330154883,-0.5715590506580152,-0.7607767826425466,0.9829646360960171,-0.25880568968989603,0.46297872340425533
NVDA/sma_cross,2891,1.6640258590146977,0.0891631486101736,0.4827217121903273,0.3335978826766097,0.49334041475528106,0.684424139053335,0.1302746988636317,0.5116361071932299
META/buy_hold,2891,6.487841808973896,0.1918321828866627,0.377440871452487,0.5494717227881103,0.7913366481552829,0.7673609262318319,0.2499895112312601,0.5251474158862296
META/macd,2891,-0.9601344333545052,-0.24487608885761214,0.3769842187025409,-0.6585520121282958,-0.8766237750974735,0.9616545717771919,-0.25464038340198114,0.47830650804758573
META/kdj_rsi,2891,-0.5579144577669075,-0.06867808214285465,0.37771467730191194,-0.10617928059624002,-0.15341971501774307,0.7552559172017345,-0.09093352409248351,0.5036572622779519
META/zmr,2891,-0.445035114150481,-0.05003331868314598,0.3347060935337345,-0.10306146059501192,-0.14301832412005872,0.797480660875832,-0.06273922508440136,0.47906566769501985
META/sma_cross,2891,-0.057909687611708116,-0.005186380305557514,0.3767579214425388,0.06628719466593203,0.09824888405139522,0.61160605829436,-0.00847993612100775,0.49559082892416223
TSLA/buy_hold,2891,25.88244544041483,0.33230177014920215,0.5718698953516191,0.7166377769927348,1.07592996445133,0.7363221744219116,0.4512994198634492,0.5173130193905817
TSLA/macd,2891,3.9253448907878425,0.14909960090363805,0.5714910807536278,0.45861399003153397,0.6807884184656994,0.7497579638960423,0.19886364411370422,0.5059399021663172
TSLA/kdj_rsi,2891,-0.9990538678591369,-0.4549923756367893,0.571458898476239,-0.8431654930099509,-1.1386993839634862,0.9995865656316737,-0.45518056292529674,0.4756437021572721
TSLA/zmr,2891,-0.9864740628080078,-0.3127743913350334,0.5103559340622218,-0.5575206388114745,-0.7778082700314125,0.9969486452262803,-0.31373169804954404,0.4469496021220159
TSLA/sma_cross,2891,-0.21065973374065095,-0.02040890986174204,0.5705336662058563,0.18259348773455877,0.2538542379913507,0.7902340400378554,-0.02582641195861972,0.5110954561465305
JPM/buy_hold,2891,6.220524890996311,0.1880615047434162,0.27024831324945126,0.62466391723913,0.9153826334875448,0.4362649657129122,0.43107175575306605,0.5244876693296283
JPM/macd,2891,-0.2723698618207395,-0.027335291612760937,0.2690726213822714,-0.11700878943551896,-0.16722228962632968,0.5942388136895332,-0.04600051525251356,0.49369306236860544
JPM/kdj_rsi,2891,-0.6656332006026139,-0.09107525768352731,0.26976960323005167,-0.3677366779470017,-0.5217976235567804,0.756989098761488,-0.12031250890209093,0.4918032786885246
JPM/zmr,2891,-0.3899578653650959,-0.04216556687369599,0.2321594119706644,-0.24145070588634693,-0.33814524790844774,0.5348206484846989,-0.07884057392541444,0.4619706136560069
JPM/sma_cross,2891,-0.3623630511047431,-0.038464678668177044,0.26865768472270096,-0.16017206711711193,-0.22257841413425036,0.769837439315419,-0.04996467657169533,0.5061815612857647
XOM/buy_hold,2891,1.3964954452249878,0.0791618422095457,0.275031525894146,0.2691775728548374,0.38554083766051106,0.6134248979926855,0.1290489552487803,0.5130163137799375
XOM/macd,2891,-0.4811161856858873,-0.05558364917767211,0.2743554205137742,-0.21751786463055509,-0.3123434518086184,0.7184065542662122,-0.07737074341484233,0.4947478991596639
XOM/kdj_rsi,2891,-0.7429556744916688,-0.11167450263143941,0.27473956745753547,-0.43862665107981186,-0.6022786496180462,0.8649588992648318,-0.12910960593197743,0.4872689222183467
XOM/zmr,2891,-0.6608132286980999,-0.0899406098695884,0.24484916195078538,-0.4254316255153288,-0.5890310291485653,0.8060579920419855,-0.11158081770486761,0.45454545454545453
XOM/sma_cross,2891,-0.26756419609508963,-0.026777010589314587,0.2740019505615541,-0.10759539835140794,-0.14849133344289028,0.5727326522892919,-0.04675307140649858,0.5088276836158192
JNJ/buy_hold,2891,2.4525296880697853,0.11405815595435409,0.18270103851816957,0.4638267217441733,0.6617268764159272,0.27366244136344986,0.41678410594486354,0.522372528616025
JNJ/macd,2891,-0.2702126729752221,-0.02708427286971149,0.1822120514438459,-0.2788902694134537,-0.38645285905353766,0.5228860847369936,-0.05179765470969572,0.5026251312565628
JNJ/kdj_rsi,2891,-0.5247167863097828,-0.06278141125502001,0.18229555430208547,-0.4841592053970696,-0.6891243723971731,0.6308567373013896,-0.0995176995708717,0.4891910739191074
JNJ/zmr,2891,-0.4922210641518685,-0.05736290937138644,0.16563671823371062,-0.5156126858668058,-0.7397925520186511,0.636525296347785,-0.09011882120085368,0.45871946082561077
JNJ/sma_cross,2891,-0.5908171918324434,-0.07493558527985789,0.18126541045761885,-0.5591358567835418,-0.7411817553610691,0.7699811202541316,-0.09732132815818323,0.48235709244883557
PORTFOLIO/buy_hold,2891,18.48286949987002,0.29543392660865697,0.226714773735204,1.0794536730199602,1.5454535842370576,0.3363429181193849,0.878371182186725,0.5695501730103806
PORTFOLIO/macd,2891,-0.4331914383297587,-0.048283117097496664,0.17913002916311327,-0.4099037893538204,-0.571455337339946,0.49120616617588253,-0.09829501423686991,0.4930167597765363
PORTFOLIO/kdj_rsi,2891,-0.7450656493866208,-0.11231251109684004,0.17194704317926732,-0.8397535889426884,-1.1926633080948947,0.7633236857416389,-0.14713615363280408,0.4608695652173913
PORTFOLIO/zmr,2891,-0.6858810618693771,-0.0960109541725569,0.16548546173570655,-0.7688611883178845,-1.078295912537583,0.7157503697352745,-0.13414027883501792,0.46429815395332635
PORTFOLIO/sma_cross,2891,0.6379225255668275,0.043949099423994165,0.17417520813051401,0.10490312390597567,0.1431742238456959,0.24098395514065662,0.18237355013258919,0.5191833861316438
